Var1,sub,ch,x,y,z
0,EL003,ECOG_L_01_SMC_AT,21.6706527785022,-53.91476782044571,70.32626879235312
1,EL003,ECOG_L_02_SMC_AT,26.6220955159375,-44.59507533019971,70.50099248463803
2,EL003,ECOG_L_03_SMC_AT,27.331780783131844,-32.358057175178594,72.00391308573369
3,EL003,ECOG_L_04_SMC_AT,28.600533843716207,-21.155992962583976,71.51392797028964
4,EL003,ECOG_L_05_SMC_AT,28.968069073114528,-11.009338269194252,69.69270593362793
5,EL003,ECOG_L_06_SMC_AT,28.133028121157672,0.6499602286057573,65.51101740362202
6,EL003,LFP_L_01_STN_MT,10.4793,-15.6278,-8.22072
7,EL003,LFP_L_02_STN_MT,11.157,-14.5562,-6.39784
8,EL003,LFP_L_03_STN_MT,11.798,-13.483,-4.56256
9,EL003,LFP_L_04_STN_MT,12.4066,-12.3907,-2.70754
10,EL004,ECOG_L_01_SMC_AT,14.716889815919721,-67.04650856280519,63.87035991871276
11,EL004,ECOG_L_02_SMC_AT,18.72880082454423,-57.10413081943647,69.72450309122269
12,EL004,ECOG_L_03_SMC_AT,23.79123817595609,-49.860052337721115,70.69935773996785
13,EL004,ECOG_L_04_SMC_AT,27.419560862049657,-43.37868388168632,70.31659802174588
14,EL004,ECOG_L_05_SMC_AT,26.512068495526563,-31.097849338187412,72.51947567078156
15,EL004,ECOG_L_06_SMC_AT,28.029230816930735,-18.395972458218573,72.3860310100863
16,EL004,LFP_L_01_STN_BS,12.6911,-15.0769,-10.0615
17,EL004,LFP_L_02_STN_BS,13.9828,-14.0101,-8.25431
18,EL004,LFP_L_03_STN_BS,13.418,-14.8026,-7.44341
19,EL004,LFP_L_04_STN_BS,12.7443,-13.7049,-8.03359
20,EL004,LFP_L_05_STN_BS,14.6675,-13.1042,-6.14035
21,EL004,LFP_L_06_STN_BS,14.1087,-13.9054,-5.34159
22,EL004,LFP_L_07_STN_BS,13.4307,-12.7885,-5.92301
23,EL004,LFP_L_08_STN_BS,14.747,-12.3596,-3.72426
24,EL006,ECOG_R_01_SMC_AT,27.197720738641898,-44.30141364152955,70.45357454255324
25,EL006,ECOG_R_02_SMC_AT,26.610644918974796,-32.13160311979664,72.4224742524136
26,EL006,ECOG_R_03_SMC_AT,29.079381468503037,-20.666091713722317,71.57315333278852
27,EL006,ECOG_R_04_SMC_AT,28.972862290369246,-14.252278935724686,71.6694158305973
28,EL006,ECOG_R_05_SMC_AT,28.096748177163676,-3.0476352900835093,68.16336212439431
29,EL006,ECOG_R_06_SMC_AT,32.221447817911795,6.447829133299172,63.08114711267139
30,EL006,LFP_R_01_STN_MT,12.5437,-14.3213,-8.73599
31,EL006,LFP_R_02_STN_MT,12.3982,-12.5857,-7.02221
32,EL006,LFP_R_03_STN_MT,13.2188,-13.3106,-6.4531
33,EL006,LFP_R_04_STN_MT,13.459,-12.579,-7.35344
34,EL006,LFP_R_05_STN_MT,12.893,-11.1698,-5.2104
35,EL006,LFP_R_06_STN_MT,13.7156,-11.8946,-4.6459
36,EL006,LFP_R_07_STN_MT,13.9535,-11.1695,-5.54201
37,EL006,LFP_R_08_STN_MT,14.0308,-10.0053,-3.21796
38,EL007,ECOG_R_01_SMC_AT,23.365108849121192,-53.76676890040018,69.42702983480588
39,EL007,ECOG_R_02_SMC_AT,31.04754460706652,-46.617131925566554,69.11153544116713
40,EL007,ECOG_R_03_SMC_AT,30.750336644885063,-32.82665161142924,70.36246279203402
41,EL007,ECOG_R_04_SMC_AT,32.14261090764522,-30.252053460855922,69.89411639930084
42,EL007,ECOG_R_05_SMC_AT,32.05760294222315,-16.777337428625348,70.86996131505047
43,EL007,ECOG_R_06_SMC_AT,37.09659422982375,-9.099580713682371,65.57599552019862
44,EL007,LFP_R_01_STN_MT,10.9436,-12.7219,-10.2424
45,EL007,LFP_R_02_STN_MT,11.4646,-10.9885,-8.8549
46,EL007,LFP_R_03_STN_MT,10.834,-11.776,-8.02424
47,EL007,LFP_R_04_STN_MT,12.0318,-12.0715,-8.2312
48,EL007,LFP_R_05_STN_MT,12.0302,-9.87049,-6.95427
49,EL007,LFP_R_06_STN_MT,11.4,-10.6451,-6.13307
50,EL007,LFP_R_07_STN_MT,12.6251,-10.9316,-6.34485
51,EL007,LFP_R_08_STN_MT,12.7219,-9.31115,-4.45749
52,EL008,ECOG_L_01_SMC_AT,16.905212307911295,-56.932609340968106,70.34014426772632
53,EL008,ECOG_L_02_SMC_AT,17.329555888653196,-48.12792220181912,73.92636992611027
54,EL008,ECOG_L_03_SMC_AT,18.542212281123142,-41.45577541664514,75.54017682829614
55,EL008,ECOG_L_04_SMC_AT,24.228452930360035,-30.62860235279103,73.46742929766587
56,EL008,ECOG_L_05_SMC_AT,27.06254154847707,-18.39229711889335,72.643429891488
57,EL008,ECOG_L_06_SMC_AT,28.299768963022885,-12.95808329946909,71.41332761519772
58,EL008,LFP_L_01_STN_BS,11.6476,-16.0064,-10.2731
59,EL008,LFP_L_02_STN_BS,12.701,-16.2494,-10.5589
60,EL008,LFP_L_03_STN_BS,12.2644,-17.0129,-9.75061
61,EL008,LFP_L_04_STN_BS,12.1954,-14.8187,-8.21614
62,EL008,LFP_L_05_STN_BS,13.2553,-15.0786,-8.49883
63,EL008,LFP_L_06_STN_BS,12.8147,-15.8476,-7.69382
64,EL008,LFP_L_07_STN_BS,12.7656,-13.6383,-6.18886
65,EL008,LFP_L_08_STN_BS,13.838,-13.9088,-6.46576
66,EL008,LFP_L_09_STN_BS,13.385,-14.6821,-5.65531
67,EL008,LFP_L_10_STN_BS,13.3445,-12.4776,-4.16355
68,EL008,LFP_L_11_STN_BS,14.4343,-12.7595,-4.43331
69,EL008,LFP_L_12_STN_BS,13.9684,-13.534,-3.61884
70,EL008,LFP_L_14_STN_BS,15.0459,-11.6474,-2.39497
71,EL008,LFP_L_15_STN_BS,14.5694,-12.418,-1.57441
72,EL009,ECOG_L_01_SMC_AT,37.063484450102756,-34.61920292221014,67.51834758168505
73,EL009,ECOG_L_02_SMC_AT,36.202524690177825,-21.81277747574524,68.05804749704004
74,EL009,ECOG_L_03_SMC_AT,38.217859470377014,-16.22279632724112,67.46069246003948
75,EL009,ECOG_L_04_SMC_AT,37.958012626581024,-7.637411840405989,64.80703506782086
76,EL009,ECOG_L_05_SMC_AT,35.12839917050769,5.913642803203653,62.98679888163419
77,EL009,ECOG_L_06_SMC_AT,34.92454146150158,17.459335316852904,59.76342982820405
78,EL009,LFP_L_01_STN_MT,11.5083,-13.7945,-8.44779
79,EL009,LFP_L_02_STN_MT,12.0855,-12.2652,-7.43103
80,EL009,LFP_L_03_STN_MT,12.7086,-13.104,-6.80821
81,EL009,LFP_L_04_STN_MT,11.5388,-12.8559,-6.55678
82,EL009,LFP_L_05_STN_MT,12.6546,-11.2394,-5.86431
83,EL009,LFP_L_06_STN_MT,13.2938,-12.0791,-5.25056
84,EL009,LFP_L_07_STN_MT,12.1237,-11.8062,-5.00153
85,EL010,ECOG_R_01_SMC_AT,16.905212307911295,-56.932609340968106,70.34014426772632
86,EL010,ECOG_R_02_SMC_AT,21.263560445452217,-52.70165742029142,70.78479560680897
87,EL010,ECOG_R_03_SMC_AT,19.548102382817145,-42.08876646763322,74.67470607161046
